# Lezione 96: Rinforzo Frattali con Ancore Corrette
# Dominio: rinforzo associazioni per calibrazione
# Formato: MANUALE (non compact)

# === EMOZIONE ===
emozione io sentire forte
sentimento io sentire profondo
affetto io tu caldo
intenso io sentire forte
profondo io sentire dentro
piacevole io sentire buono
spiacevole io sentire cattivo
commuovere io sentire nuovo
turbare io sentire paura
esprimere io fuori dire

# === PENSIERO ===
pensiero io pensare forte
mente io pensare sapere
cognizione io pensare sapere
astratto io pensare no
concetto io pensare sapere
concepire io pensare nuovo
lucido io pensare chiaro
confuso io pensare no

# === MEMORIA ===
memoria io ricordare forte
ricordo io ricordare vedere
vivido io ricordare forte
sbiadito io ricordare debole
recente io ricordare vicino
remoto io ricordare lontano
indelebile io ricordare sempre
riaffiorare io ricordare nuovo

# === COMUNICAZIONE ===
comunicazione io tu dire
linguaggio io tu dire
chiaro io dire vedere
esplicito io dire chiaro
ambiguo io dire no
eloquente io dire forte
dialogare io tu dire
conversare io tu dire

# === AZIONE ===
azione io fare forte
atto io fare dentro
dinamico io fare veloce
attivo io fare forte
deliberato io fare volere
efficiente io fare buono
compiere io fare fine
realizzare io fare vero

# === NATURA ===
natura io terra vivere
naturale io terra vero
elemento io natura dentro
forza io dentro forte
energia io dentro forte
processo io tempo fare
trasformazione io cambiare forte
ciclo io tempo sempre

# === CORPO ===
corporeo io corpo forte
fisico io corpo toccare
sensazione io corpo sentire
percezione io corpo sentire
vitale io corpo forte
vigoroso io corpo forte
muovere io corpo fare
tremare io corpo veloce

# === QUALITA ===
qualita io dentro buono
attributo io dentro forte
proprieta io dentro forte
grado io dentro piccolo
eccellente io dentro buono
peculiare io dentro forte
distintivo io dentro forte
simile io dentro stesso
